acc_id,mechanical,op_error,employee
917161,,,
916800,,,
917014,,,
916423,,,
916957,,,
916042,,,
916054,,,
917104,,,
917105,,,
918999,TRUE,TRUE,
913891,TRUE,,
916847,TRUE,,
913887,,,
916036,,,
916956,,,
916422,,,
916846,,,
916955,,,
917047,,,
919378,,,
917439,,,
917103,,,
916420,,,
913888,,,
916953,,TRUE,
916954,,,
916845,,,
916844,,,
917779,,,
916419,,,
917102,,,
920060,,,
917101,,,
916952,,,
917099,,,
917100,,,
919791,,,
917098,,,
917097,,,
916035,,,
916038,,,
916951,,,
917197,TRUE,TRUE,
919376,TRUE,TRUE,
916949,,,
916950,,,
917192,,,
916948,,TRUE,
917022,,TRUE,
916041,TRUE,TRUE,
916947,,,
916946,,,
917096,,,
916943,,TRUE,
916944,,,
916945,,,
916843,,,
916942,,,
917006,,,
916418,,,
916417,TRUE,,
916841,,,
916842,,,
916840,,,
916941,,,
917011,,,
917095,,,
916040,TRUE,,
916839,,,
917035,,,
919786,,,
916414,,,
916415,,,
916416,,,
916838,,,
919375,TRUE,TRUE,
916411,,,
916412,,,
916413,,,
916837,,,
917034,,,
916407,,,
916408,,,
916409,,,
916410,,,
917033,,,
916406,,,
917020,,,
916403,,,
916404,,,
916405,,,
916940,,,
918793,,,
916402,,,
916836,,,
916401,TRUE,,
916835,,,
916834,,,
917010,,,
916869,,,
916939,,TRUE,
917009,,,
913918,,TRUE,
916938,,,
919480,,,
919605,,,
917032,,,
917415,,,
916937,,,
918405,,,
916039,,,
916399,,,
916833,,,
916832,,,
918975,TRUE,,
917584,,,
917476,,,
916831,,,
916936,,,
919479,,,
917290,,,
917282,,,
917385,,,
916830,,,
917008,,,
916034,TRUE,,
919478,,,
917016,,,
916033,,,
919634,,,
918383,,,
916935,,,
917229,,,
916032,,,
916866,,,
918061,,,
916241,,,
917805,,,
916828,,,
916829,,,
916726,,,
916934,,,
917043,,TRUE,
917286,,,
917285,,,
917481,,,
916049,,,
917029,,,
917617,,,
920050,,,
916031,,,
917573,,,
916397,,,
916933,,,
917417,,,
917742,,,
918373,,,
918378,,,
918814,,,
917040,,,
918874,,,
917013,,,
917612,,,
917722,,,
917094,,,
916396,,,
917371,,,
916028,,,
916029,,,
916932,,,
917933,,,
914857,,,
917869,,,
917778,,,
918449,,,
916030,,,
914382,,,
916931,,,
914383,,,
916928,,,
916929,,,
916930,,,
917093,,,
918876,,,
917275,,TRUE,
917572,,,
916395,,,
916868,,,
916926,,,
916927,,,
917393,,,
917931,,,
917394,,,
917866,,,
918412,,,
917368,,,
917865,,,
918397,,,
917930,,,
916394,,,
916725,,,
918415,,,
918877,,,
917028,,,
912449,,,
916734,,,
916925,,,
918129,,,
916924,,,
918187,,,
917926,,,
917457,,,
917925,,,
916827,,,
916864,,,
916923,,,
914380,,,
914381,,TRUE,TRUE
916393,,,
917025,,,
917659,,,
917775,TRUE,,
919614,,,
917149,,,
916392,,,
916863,,,
916922,,,
917038,,,
917982,,,
918190,,,
912597,,,
914378,TRUE,,
916390,,,
916391,,,
918165,,,
916733,,,
917027,TRUE,,
918017,,,
917262,,,
